config,n_seeds,detector,transform,kind,gamma,nu,n_train,tau_b_beta,tau_u_quantile,tau_m_objective,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,benign_fpr_mean,benign_fpr_std,attack_detection_rate_mean,attack_detection_rate_std,detector_infer_s_mean,detector_infer_s_std,detector_fit_s_mean,detector_fit_s_std,delta_bacc_mean,delta_bacc_min_over_seeds,delta_bacc_std,reliable_gain
qu-ocsvm-g0.01-nu0.001|F9|q0.95|f1,3,qu-ocsvm-g0.01-nu0.001,quantile_uniform,ocsvm,0.01,0.001,10000,F9,0.95,f1,0.8884142743937531,0.003477840156507366,0.9663000924940226,0.0003276247468980853,0.692612688233972,0.005401714434855698,0.05803532493990993,0.0004358439772394027,0.8980132450331126,0.0017521531861354846,4.495408699993277,3.2052445056920345,1.99220553333483,1.2696185138421878,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.001-nu0.001|F2|q0.95|f1,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F2,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662709770026296,0.00031022116536169337,0.6926084631474287,0.005399863949594105,0.05803532493990993,0.0004358439772394027,0.8942604856512141,0.004308878873276599,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.001-nu0.001|F2|q0.95|f1_weighted,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F2,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9662709770026296,0.00031022116536169337,0.6926084631474287,0.005399863949594105,0.05803532493990993,0.0004358439772394027,0.8942604856512141,0.004308878873276599,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.001-nu0.001|F3|q0.95|f1,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F3,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662709770026296,0.00031022116536169337,0.6926084631474287,0.005399863949594105,0.05803532493990993,0.0004358439772394027,0.8942604856512141,0.004308878873276599,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.001-nu0.001|F3|q0.95|f1_weighted,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F3,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9662709770026296,0.00031022116536169337,0.6926084631474287,0.005399863949594105,0.05803532493990993,0.0004358439772394027,0.8942604856512141,0.004308878873276599,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.001-nu0.001|F7|q0.95|f1,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F7,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662709770026296,0.00031022116536169337,0.6926084631474287,0.005399863949594105,0.05803532493990993,0.0004358439772394027,0.8942604856512141,0.004308878873276599,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.01-nu0.001|F7|q0.95|f1,3,qu-ocsvm-g0.01-nu0.001,quantile_uniform,ocsvm,0.01,0.001,10000,F7,0.95,f1,0.8884142743937531,0.003477840156507366,0.9663000924940226,0.0003276247468980853,0.692612688233972,0.005401714434855698,0.05803532493990993,0.0004358439772394027,0.8980132450331126,0.0017521531861354846,4.495408699993277,3.2052445056920345,1.99220553333483,1.2696185138421878,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.001-nu0.001|F4|q0.95|f1,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F4,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662709770026296,0.00031022116536169337,0.6926084631474287,0.005399863949594105,0.05803532493990993,0.0004358439772394027,0.8942604856512141,0.004308878873276599,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.01-nu0.001|F8|q0.95|f1_weighted,3,qu-ocsvm-g0.01-nu0.001,quantile_uniform,ocsvm,0.01,0.001,10000,F8,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9663000924940226,0.0003276247468980853,0.692612688233972,0.005401714434855698,0.05803532493990993,0.0004358439772394027,0.8980132450331126,0.0017521531861354846,4.495408699993277,3.2052445056920345,1.99220553333483,1.2696185138421878,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.001-nu0.001|F4|q0.95|f1_weighted,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F4,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9662709770026296,0.00031022116536169337,0.6926084631474287,0.005399863949594105,0.05803532493990993,0.0004358439772394027,0.8942604856512141,0.004308878873276599,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.001-nu0.001|F5|q0.95|f1,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F5,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662709770026296,0.00031022116536169337,0.6926084631474287,0.005399863949594105,0.05803532493990993,0.0004358439772394027,0.8942604856512141,0.004308878873276599,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.01-nu0.001|F7|q0.95|f1_weighted,3,qu-ocsvm-g0.01-nu0.001,quantile_uniform,ocsvm,0.01,0.001,10000,F7,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9663000924940226,0.0003276247468980853,0.692612688233972,0.005401714434855698,0.05803532493990993,0.0004358439772394027,0.8980132450331126,0.0017521531861354846,4.495408699993277,3.2052445056920345,1.99220553333483,1.2696185138421878,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.001-nu0.001|F6|q0.95|f1_weighted,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F6,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9662709770026296,0.00031022116536169337,0.6926084631474287,0.005399863949594105,0.05803532493990993,0.0004358439772394027,0.8942604856512141,0.004308878873276599,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.001-nu0.001|F5|q0.95|f1_weighted,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F5,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9662709770026296,0.00031022116536169337,0.6926084631474287,0.005399863949594105,0.05803532493990993,0.0004358439772394027,0.8942604856512141,0.004308878873276599,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.001-nu0.001|F9|q0.95|f1,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F9,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662709770026296,0.00031022116536169337,0.6926084631474287,0.005399863949594105,0.05803532493990993,0.0004358439772394027,0.8942604856512141,0.004308878873276599,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.000293-nu0.001|F2|q0.95|f1,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F2,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662812529532769,0.0003153190940117444,0.6926099543391869,0.005400599279942185,0.05803532493990993,0.0004358439772394027,0.8955849889624724,0.0039918634260540965,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.01-nu0.001|F5|q0.95|f1_weighted,3,qu-ocsvm-g0.01-nu0.001,quantile_uniform,ocsvm,0.01,0.001,10000,F5,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9663000924940226,0.0003276247468980853,0.692612688233972,0.005401714434855698,0.05803532493990993,0.0004358439772394027,0.8980132450331126,0.0017521531861354846,4.495408699993277,3.2052445056920345,1.99220553333483,1.2696185138421878,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.000293-nu0.001|F5|q0.95|f1,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F5,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662812529532769,0.0003153190940117444,0.6926099543391869,0.005400599279942185,0.05803532493990993,0.0004358439772394027,0.8955849889624724,0.0039918634260540965,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.000293-nu0.001|F8|q0.95|f1_weighted,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F8,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9662812529532769,0.0003153190940117444,0.6926099543391869,0.005400599279942185,0.05803532493990993,0.0004358439772394027,0.8955849889624724,0.0039918634260540965,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.01-nu0.001|F2|q0.95|f1,3,qu-ocsvm-g0.01-nu0.001,quantile_uniform,ocsvm,0.01,0.001,10000,F2,0.95,f1,0.8884142743937531,0.003477840156507366,0.9663000924940226,0.0003276247468980853,0.692612688233972,0.005401714434855698,0.05803532493990993,0.0004358439772394027,0.8980132450331126,0.0017521531861354846,4.495408699993277,3.2052445056920345,1.99220553333483,1.2696185138421878,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.000293-nu0.001|F8|q0.95|f1,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F8,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662812529532769,0.0003153190940117444,0.6926099543391869,0.005400599279942185,0.05803532493990993,0.0004358439772394027,0.8955849889624724,0.0039918634260540965,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.01-nu0.001|F2|q0.95|f1_weighted,3,qu-ocsvm-g0.01-nu0.001,quantile_uniform,ocsvm,0.01,0.001,10000,F2,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9663000924940226,0.0003276247468980853,0.692612688233972,0.005401714434855698,0.05803532493990993,0.0004358439772394027,0.8980132450331126,0.0017521531861354846,4.495408699993277,3.2052445056920345,1.99220553333483,1.2696185138421878,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.000293-nu0.001|F7|q0.95|f1_weighted,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F7,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9662812529532769,0.0003153190940117444,0.6926099543391869,0.005400599279942185,0.05803532493990993,0.0004358439772394027,0.8955849889624724,0.0039918634260540965,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.000293-nu0.001|F7|q0.95|f1,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F7,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662812529532769,0.0003153190940117444,0.6926099543391869,0.005400599279942185,0.05803532493990993,0.0004358439772394027,0.8955849889624724,0.0039918634260540965,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.000293-nu0.001|F6|q0.95|f1_weighted,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F6,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9662812529532769,0.0003153190940117444,0.6926099543391869,0.005400599279942185,0.05803532493990993,0.0004358439772394027,0.8955849889624724,0.0039918634260540965,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
