config,detector,transform,kind,gamma,nu,n_train,tau_b_beta,tau_u_quantile,tau_m_objective,seed,balanced_accuracy,f1_weighted,f1_macro,benign_fpr,attack_detection_rate,tau_b,tau_m,tau_u,detector_fit_s,detector_infer_s
ocsvm-ntrain20000|F6|q0.95|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F6,0.95,f1,1,0.8844654414411517,0.9666313800025514,0.691622498722814,0.05744576194911618,0.9039735099337748,-0.0009399318996610228,1.0,-0.0008768532360235726,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F6|q0.95|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F6,0.95,f1_weighted,1,0.8844654414411517,0.9666313800025514,0.691622498722814,0.05744576194911618,0.9039735099337748,-0.0009399318996610228,1.0,-0.0008768532360235726,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F6|q0.975|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F6,0.975,f1,1,0.8885243558777702,0.9791083924466514,0.6934330969595625,0.03309227532940524,0.8947019867549669,-0.0009399318996610228,1.0,-0.0007563843516341306,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F6|q0.975|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F6,0.975,f1_weighted,1,0.8885243558777702,0.9791083924466514,0.6934330969595625,0.03309227532940524,0.8947019867549669,-0.0009399318996610228,1.0,-0.0007563843516341306,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F6|q0.99|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F6,0.99,f1,1,0.8910238936464313,0.9866160637337228,0.694522570618049,0.018095048717438854,0.8860927152317881,-0.0009399318996610228,1.0,-0.000528384800720398,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F6|q0.99|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F6,0.99,f1_weighted,1,0.8910238936464313,0.9866160637337228,0.694522570618049,0.018095048717438854,0.8860927152317881,-0.0009399318996610228,1.0,-0.000528384800720398,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F6|q0.995|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F6,0.995,f1,1,0.8918576543257194,0.9890812590911062,0.6948803067658101,0.013092484641709663,0.8814569536423841,-0.0009399318996610228,1.0,-0.0003568968940612339,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F6|q0.995|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F6,0.995,f1_weighted,1,0.8918576543257194,0.9890812590911062,0.6948803067658101,0.013092484641709663,0.8814569536423841,-0.0009399318996610228,1.0,-0.0003568968940612339,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F7|q0.95|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F7,0.95,f1,1,0.8844654414411517,0.9666313800025514,0.691622498722814,0.05744576194911618,0.9039735099337748,-0.000940802335339235,1.0,-0.0008768532360235726,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F7|q0.95|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F7,0.95,f1_weighted,1,0.8844654414411517,0.9666313800025514,0.691622498722814,0.05744576194911618,0.9039735099337748,-0.000940802335339235,1.0,-0.0008768532360235726,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F7|q0.975|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F7,0.975,f1,1,0.8885243558777702,0.9791083924466514,0.6934330969595625,0.03309227532940524,0.8947019867549669,-0.000940802335339235,1.0,-0.0007563843516341306,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F7|q0.975|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F7,0.975,f1_weighted,1,0.8885243558777702,0.9791083924466514,0.6934330969595625,0.03309227532940524,0.8947019867549669,-0.000940802335339235,1.0,-0.0007563843516341306,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F7|q0.99|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F7,0.99,f1,1,0.8910238936464313,0.9866160637337228,0.694522570618049,0.018095048717438854,0.8860927152317881,-0.000940802335339235,1.0,-0.000528384800720398,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F7|q0.99|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F7,0.99,f1_weighted,1,0.8910238936464313,0.9866160637337228,0.694522570618049,0.018095048717438854,0.8860927152317881,-0.000940802335339235,1.0,-0.000528384800720398,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F7|q0.995|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F7,0.995,f1,1,0.8918576543257194,0.9890812590911062,0.6948803067658101,0.013092484641709663,0.8814569536423841,-0.000940802335339235,1.0,-0.0003568968940612339,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F7|q0.995|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F7,0.995,f1_weighted,1,0.8918576543257194,0.9890812590911062,0.6948803067658101,0.013092484641709663,0.8814569536423841,-0.000940802335339235,1.0,-0.0003568968940612339,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F8|q0.95|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F8,0.95,f1,1,0.8844654414411517,0.9666313800025514,0.691622498722814,0.05744576194911618,0.9039735099337748,-0.000940802335339235,1.0,-0.0008768532360235726,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F8|q0.95|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F8,0.95,f1_weighted,1,0.8844654414411517,0.9666313800025514,0.691622498722814,0.05744576194911618,0.9039735099337748,-0.000940802335339235,1.0,-0.0008768532360235726,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F8|q0.975|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F8,0.975,f1,1,0.8885243558777702,0.9791083924466514,0.6934330969595625,0.03309227532940524,0.8947019867549669,-0.000940802335339235,1.0,-0.0007563843516341306,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F8|q0.975|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F8,0.975,f1_weighted,1,0.8885243558777702,0.9791083924466514,0.6934330969595625,0.03309227532940524,0.8947019867549669,-0.000940802335339235,1.0,-0.0007563843516341306,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F8|q0.99|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F8,0.99,f1,1,0.8910238936464313,0.9866160637337228,0.694522570618049,0.018095048717438854,0.8860927152317881,-0.000940802335339235,1.0,-0.000528384800720398,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F8|q0.99|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F8,0.99,f1_weighted,1,0.8910238936464313,0.9866160637337228,0.694522570618049,0.018095048717438854,0.8860927152317881,-0.000940802335339235,1.0,-0.000528384800720398,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F8|q0.995|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F8,0.995,f1,1,0.8918576543257194,0.9890812590911062,0.6948803067658101,0.013092484641709663,0.8814569536423841,-0.000940802335339235,1.0,-0.0003568968940612339,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F8|q0.995|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F8,0.995,f1_weighted,1,0.8918576543257194,0.9890812590911062,0.6948803067658101,0.013092484641709663,0.8814569536423841,-0.000940802335339235,1.0,-0.0003568968940612339,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F9|q0.95|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F9,0.95,f1,1,0.8844654414411517,0.9666313800025514,0.691622498722814,0.05744576194911618,0.9039735099337748,-0.000940802335339235,1.0,-0.0008768532360235726,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F9|q0.95|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F9,0.95,f1_weighted,1,0.8844654414411517,0.9666313800025514,0.691622498722814,0.05744576194911618,0.9039735099337748,-0.000940802335339235,1.0,-0.0008768532360235726,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F9|q0.975|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F9,0.975,f1,1,0.8885243558777702,0.9791083924466514,0.6934330969595625,0.03309227532940524,0.8947019867549669,-0.000940802335339235,1.0,-0.0007563843516341306,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F9|q0.975|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F9,0.975,f1_weighted,1,0.8885243558777702,0.9791083924466514,0.6934330969595625,0.03309227532940524,0.8947019867549669,-0.000940802335339235,1.0,-0.0007563843516341306,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F9|q0.99|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F9,0.99,f1,1,0.8910238936464313,0.9866160637337228,0.694522570618049,0.018095048717438854,0.8860927152317881,-0.000940802335339235,1.0,-0.000528384800720398,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F9|q0.99|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F9,0.99,f1_weighted,1,0.8910238936464313,0.9866160637337228,0.694522570618049,0.018095048717438854,0.8860927152317881,-0.000940802335339235,1.0,-0.000528384800720398,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F9|q0.995|f1,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F9,0.995,f1,1,0.8918576543257194,0.9890812590911062,0.6948803067658101,0.013092484641709663,0.8814569536423841,-0.000940802335339235,1.0,-0.0003568968940612339,1.0381457000039518,2.5241677000012714
ocsvm-ntrain20000|F9|q0.995|f1_weighted,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F9,0.995,f1_weighted,1,0.8918576543257194,0.9890812590911062,0.6948803067658101,0.013092484641709663,0.8814569536423841,-0.000940802335339235,1.0,-0.0003568968940612339,1.0381457000039518,2.5241677000012714
qu-ocsvm-g0.000293-nu1.3e-06|F1|q0.95|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F1,0.95,f1,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,0.00030113795959671994,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F1|q0.95|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F1,0.95,f1_weighted,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,0.00030113795959671994,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F1|q0.975|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F1,0.975,f1,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,0.00030113795959671994,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F1|q0.975|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F1,0.975,f1_weighted,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,0.00030113795959671994,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F1|q0.99|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F1,0.99,f1,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,0.00030113795959671994,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F1|q0.99|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F1,0.99,f1_weighted,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,0.00030113795959671994,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F1|q0.995|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F1,0.995,f1,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,0.00030113795959671994,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F1|q0.995|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F1,0.995,f1_weighted,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,0.00030113795959671994,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F2|q0.95|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F2,0.95,f1,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,0.00030067465996862463,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F2|q0.95|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F2,0.95,f1_weighted,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,0.00030067465996862463,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F2|q0.975|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F2,0.975,f1,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,0.00030067465996862463,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F2|q0.975|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F2,0.975,f1_weighted,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,0.00030067465996862463,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F2|q0.99|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F2,0.99,f1,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,0.00030067465996862463,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
